FIPS,% Smokers,% Obese,% Physically Inactive,% Excessive Drinking,% Unemployed,% Children in Poverty,% Uninsured,PCP Rate,Average Daily PM2.5,% Bachelor or Higher,Age-Adjusted Mortality
21063,26.919068744,33.8,34.1,12.337657622,10.87962963,37.0,7.3133473363,13.07531,9.3,8.3,415.3
21065,25.410862397,37.9,34.2,12.927417995,5.6852409639,39.1,8.3953786906,34.78261,9.5,9.9,610.3
21067,18.804168538,27.5,20.0,19.82710214,3.4953801486,22.3,8.0681783893,124.64705,10.5,42.9,373.9
21069,23.220866591,33.6,32.5,12.704167551,5.932062966,33.8,9.5351707116,47.82401,9.7,12.7,522.5
21071,26.255221968,38.1,36.7,12.35746772,10.852447792,38.4,7.7841237246,55.6203,9.7,11.2,670.3
21073,19.722425578,34.1,24.3,15.40225407,4.0211464014,20.9,6.8968931798,37.71712,10.2,29.8,429.7
21075,24.57620995,34.3,30.5,11.787284686,6.7731011127,46.7,7.0416394157,32.06156,10.0,13.3,525.7
21077,21.360137938,36.5,27.9,15.736809102,4.7941636269,23.9,7.6943592479,34.7383,10.4,11.6,595.2
21079,20.812043842,32.6,27.3,14.131422314,4.7291941876,24.4,8.5175050866,29.007369999999998,9.9,16.8,411.1
21081,23.157158373,35.6,30.1,15.097641023,4.8751808973,22.0,7.0162131412,52.5104,10.3,13.6,501.1
21083,21.647874873,32.7,29.3,13.656603245,5.9763275338,30.0,8.1719584521,40.08444,10.1,16.3,461.1
21085,22.98225234,37.2,34.0,13.716346836,6.4453843325,32.2,7.7771988822,64.83353,10.1,10.4,520.6
21087,21.384452595,38.1,34.0,13.669781558,4.3711504073,28.7,8.42574597,,9.8,12.0,439.1
